DataMessageGUID,SensorID,Sensor Name,Date,Value,Formatted Value,Battery,Raw Data,Sensor State,GatewayID,Alert Sent,Signal Strength,Voltage
e4ec6f23-6ea4-4433-8f79-02dcec9c1024,236337,B787-9-L-11 Computer Suite,07/24/2023 23:57,6.2,"6.2 Ah |  Phase 1: Min 12, Max 16, Avg 13.86, Duty 100% | Phase 2: Min 8, Max 12, Avg 10.63, Duty 100% | Phase 3: Min 10, Max 14, Avg 12.7, Duty 100%",100,13.86|16|12|100|10.63|12|8|100|12.7|14|10|100|6.2|2573,0,965435,FALSE,77,3.3
0dd20c8a-3c2d-422e-90c9-caef993812c4,236337,B787-9-L-11 Computer Suite,07/24/2023 23:47,6.2,"6.2 Ah |  Phase 1: Min 12, Max 16, Avg 13.99, Duty 100% | Phase 2: Min 8, Max 12, Avg 10.57, Duty 100% | Phase 3: Min 10, Max 14, Avg 12.66, Duty 100%",100,13.99|16|12|100|10.57|12|8|100|12.66|14|10|100|6.2|2573,0,965435,FALSE,77,3.3
4ca7f8b8-58cb-45ad-9bc7-a36ece9e91fd,236337,B787-9-L-11 Computer Suite,07/24/2023 23:37,6.2,"6.2 Ah |  Phase 1: Min 12, Max 16, Avg 14.02, Duty 100% | Phase 2: Min 8, Max 12, Avg 10.4, Duty 100% | Phase 3: Min 10, Max 14, Avg 12.58, Duty 100%",100,14.02|16|12|100|10.4|12|8|100|12.58|14|10|100|6.2|2573,0,965435,FALSE,78,3.3
a39ca493-6d74-4374-b960-6b4a898554db,236337,B787-9-L-11 Computer Suite,07/24/2023 23:27,6.2,"6.2 Ah |  Phase 1: Min 12, Max 16, Avg 14.2, Duty 100% | Phase 2: Min 8, Max 12, Avg 10.34, Duty 100% | Phase 3: Min 10, Max 14, Avg 12.64, Duty 100%",100,14.2|16|12|100|10.34|12|8|100|12.64|14|10|100|6.2|2573,0,965435,FALSE,78,3.3
21c78ccf-bb9a-4b5b-be09-ae16cf0594ea,236337,B787-9-L-11 Computer Suite,07/24/2023 23:17,6.2,"6.2 Ah |  Phase 1: Min 12, Max 16, Avg 14.32, Duty 100% | Phase 2: Min 8, Max 12, Avg 10.26, Duty 100% | Phase 3: Min 10, Max 14, Avg 12.59, Duty 100%",100,14.32|16|12|100|10.26|12|8|100|12.59|14|10|100|6.2|2573,0,965435,FALSE,78,3.3
379936d9-adf7-4932-9634-b7c9f02073dc,236337,B787-9-L-11 Computer Suite,07/24/2023 23:07,6.1,"6.1 Ah |  Phase 1: Min 12, Max 16, Avg 14.35, Duty 100% | Phase 2: Min 8, Max 12, Avg 10.07, Duty 100% | Phase 3: Min 10, Max 14, Avg 12.53, Duty 100%",100,14.35|16|12|100|10.07|12|8|100|12.53|14|10|100|6.1|2531.5,0,965435,FALSE,78,3.3
f13f2301-73de-4831-928c-85287cc1a94f,236337,B787-9-L-11 Computer Suite,07/24/2023 22:57,6.2,"6.2 Ah |  Phase 1: Min 12, Max 16, Avg 14.44, Duty 100% | Phase 2: Min 8, Max 12, Avg 10.19, Duty 100% | Phase 3: Min 10, Max 14, Avg 12.58, Duty 100%",100,14.44|16|12|100|10.19|12|8|100|12.58|14|10|100|6.2|2573,0,965435,FALSE,77,3.3
853bbfb3-5cd7-4c90-a60b-266d8e0b5463,236337,B787-9-L-11 Computer Suite,07/24/2023 22:47,6.2,"6.2 Ah |  Phase 1: Min 12, Max 16, Avg 14.31, Duty 100% | Phase 2: Min 8, Max 12, Avg 10.27, Duty 100% | Phase 3: Min 10, Max 14, Avg 12.63, Duty 100%",100,14.31|16|12|100|10.27|12|8|100|12.63|14|10|100|6.2|2573,0,965435,FALSE,78,3.3
75010e8c-7823-438a-8201-d0e0564743b8,236337,B787-9-L-11 Computer Suite,07/24/2023 22:37,6.2,"6.2 Ah |  Phase 1: Min 12, Max 16, Avg 14.12, Duty 100% | Phase 2: Min 8, Max 12, Avg 10.27, Duty 100% | Phase 3: Min 10, Max 14, Avg 12.57, Duty 100%",100,14.12|16|12|100|10.27|12|8|100|12.57|14|10|100|6.2|2573,0,965435,FALSE,78,3.3
8abf8216-852e-4e9d-b564-6b9183afd145,236337,B787-9-L-11 Computer Suite,07/24/2023 22:27,6.2,"6.2 Ah |  Phase 1: Min 12, Max 16, Avg 14.03, Duty 100% | Phase 2: Min 8, Max 12, Avg 10.42, Duty 100% | Phase 3: Min 10, Max 14, Avg 12.57, Duty 100%",100,14.03|16|12|100|10.42|12|8|100|12.57|14|10|100|6.2|2573,0,965435,FALSE,78,3.3
