DataMessageGUID,SensorID,Sensor Name,Date,Value,Formatted Value,Battery,Raw Data,Sensor State,GatewayID,Alert Sent,Signal Strength,Voltage
51f2340e-918d-43fa-81b2-818a0f0ecce5,687746,COMPUTER_ROOM-2,07/24/2023 23:40,184.64,184.64 lux,100,184.64|True|0,0,965435,FALSE,86,3.01
4597e232-630a-4f9e-9ef2-f0902366b8a3,687746,COMPUTER_ROOM-2,07/24/2023 23:20,185.04,185.04 lux,100,185.04|True|0,0,965435,FALSE,90,3
14e91307-d6d5-4c3e-9cac-2da9eba4e119,687746,COMPUTER_ROOM-2,07/24/2023 23:00,185.12,185.12 lux,100,185.12|True|0,0,965435,FALSE,88,3
3a3e7d83-95c1-4f67-9b7c-8d8f1fa69953,687746,COMPUTER_ROOM-2,07/24/2023 22:40,185.04,185.04 lux,100,185.04|True|0,0,965435,FALSE,90,3.01
c4031deb-873b-435d-a75d-52216f1c9b5e,687746,COMPUTER_ROOM-2,07/24/2023 22:20,184.96,184.96 lux,100,184.96|True|0,0,965435,FALSE,89,3.01
df212530-8918-48f1-8363-f13da2d13279,687746,COMPUTER_ROOM-2,07/24/2023 22:00,184.96,184.96 lux,100,184.96|True|0,0,965435,FALSE,89,3
bbad550a-1bbe-4290-874a-d110d227e326,687746,COMPUTER_ROOM-2,07/24/2023 21:40,185.04,185.04 lux,100,185.04|True|0,0,965435,FALSE,90,3.01
5e5d0802-aa1e-4ee4-8fb9-89ce4226e721,687746,COMPUTER_ROOM-2,07/24/2023 21:20,185.04,185.04 lux,100,185.04|True|0,0,965435,FALSE,92,3
7f9f9229-5f19-423f-b32b-cf56e5f240bf,687746,COMPUTER_ROOM-2,07/24/2023 21:00,184.96,184.96 lux,100,184.96|True|0,0,965435,FALSE,91,3
eb7dc842-614a-4193-bdac-060aa076944f,687746,COMPUTER_ROOM-2,07/24/2023 20:40,184.96,184.96 lux,100,184.96|True|0,0,965435,FALSE,90,3
aeb430c1-bb43-4a4c-8e9e-e9bb03d6235f,687746,COMPUTER_ROOM-2,07/24/2023 20:20,185.04,185.04 lux,100,185.04|True|0,0,965435,FALSE,90,3
d7286b54-47e8-4caa-baec-088392d7838f,687746,COMPUTER_ROOM-2,07/24/2023 20:00,184.96,184.96 lux,100,184.96|True|0,0,965435,FALSE,88,3
9515f615-a409-40bf-ba5d-99ab305cdfd1,687746,COMPUTER_ROOM-2,07/24/2023 19:40,184.96,184.96 lux,100,184.96|True|0,0,965435,FALSE,92,3
9ff11404-4afb-44c6-8274-8f881591a510,687746,COMPUTER_ROOM-2,07/24/2023 19:20,184.88,184.88 lux,100,184.88|True|0,0,965435,FALSE,89,3
0616afc8-39e9-434f-af30-09b33b386823,687746,COMPUTER_ROOM-2,07/24/2023 19:00,184.96,184.96 lux,100,184.96|True|0,0,965435,FALSE,87,3.01
c40b443f-eedf-4c16-8102-1431425a6503,687746,COMPUTER_ROOM-2,07/24/2023 18:40,185.04,185.04 lux,100,185.04|True|0,0,965435,FALSE,90,3
868f8265-3d02-4451-a7c7-6d5e9aaaabca,687746,COMPUTER_ROOM-2,07/24/2023 18:20,185.04,185.04 lux,100,185.04|True|0,0,965435,FALSE,91,3.01
95abb02a-7250-4999-b7fe-33d955691316,687746,COMPUTER_ROOM-2,07/24/2023 18:00,185.12,185.12 lux,100,185.12|True|0,0,965435,FALSE,87,3.01
ff81c258-5473-4999-84f1-277164b7628f,687746,COMPUTER_ROOM-2,07/24/2023 17:40,185.12,185.12 lux,100,185.12|True|0,0,965435,FALSE,89,3
343c556c-ba00-44d4-9047-8076cb76e908,687746,COMPUTER_ROOM-2,07/24/2023 17:20,185.04,185.04 lux,100,185.04|True|0,0,965435,FALSE,85,3.01
