DataMessageGUID,SensorID,Sensor Name,Date,Value,Formatted Value,Battery,Raw Data,Sensor State,GatewayID,Alert Sent,Signal Strength,Voltage
1bcdab71-e851-4d5a-83e3-26b1eaf755fe,688881,COMPUTER_ROOM-2,07/24/2023 23:53,69.8,69.8° F,100,21,16,965435,FALSE,88,3.24
5cb78eea-9f98-4419-bc36-7973fa44d1e6,688881,COMPUTER_ROOM-2,07/24/2023 23:33,70.16,70.2° F,100,21.2,16,965435,FALSE,88,3.23
307b7cde-213a-40de-b190-d95ddf308c11,688881,COMPUTER_ROOM-2,07/24/2023 23:13,70.52,70.5° F,100,21.4,16,965435,FALSE,89,3.23
a4144e81-93a0-47f5-b33b-b8b9f11439d2,688881,COMPUTER_ROOM-2,07/24/2023 22:53,70.16,70.2° F,100,21.2,16,965435,FALSE,90,3.24
4718497c-850a-4dc6-811e-1cf34bc9c7e1,688881,COMPUTER_ROOM-2,07/24/2023 22:33,70.52,70.5° F,100,21.4,16,965435,FALSE,90,3.26
9919bbc9-55c6-477c-a42b-54d526a8df64,688881,COMPUTER_ROOM-2,07/24/2023 22:13,70.52,70.5° F,100,21.4,16,965435,FALSE,89,3.23
6d9ead7c-c089-4b22-b9b0-c7d9bb1f29c6,688881,COMPUTER_ROOM-2,07/24/2023 21:53,69.98,70° F,100,21.1,16,965435,FALSE,89,3.23
1e858150-39b0-4f9a-8060-e97819a3b4fd,688881,COMPUTER_ROOM-2,07/24/2023 21:33,70.52,70.5° F,100,21.4,16,965435,FALSE,90,3.23
d3d611c0-cfd1-4610-83e3-b4e0630cb87b,688881,COMPUTER_ROOM-2,07/24/2023 21:13,70.16,70.2° F,100,21.2,16,965435,FALSE,89,3.23
7e05fb39-1b78-4b2c-b3ca-8fb9e7e2930b,688881,COMPUTER_ROOM-2,07/24/2023 20:53,70.52,70.5° F,100,21.4,16,965435,FALSE,88,3.23
2f96c4a7-9ac1-490c-8760-42e9ceec517d,688881,COMPUTER_ROOM-2,07/24/2023 20:33,70.52,70.5° F,100,21.4,16,965435,FALSE,88,3.23
718a6e3a-9ecd-4e88-aeb0-603e8c35ccc0,688881,COMPUTER_ROOM-2,07/24/2023 20:13,70.16,70.2° F,100,21.2,16,965435,FALSE,90,3.23
c01da5b6-93b6-4ed2-810d-971a5bc9d0a8,688881,COMPUTER_ROOM-2,07/24/2023 19:53,70.34,70.3° F,100,21.3,16,965435,FALSE,85,3.23
206b5719-4e0c-4928-bfc0-970f2c55d6c1,688881,COMPUTER_ROOM-2,07/24/2023 19:33,70.7,70.7° F,100,21.5,16,965435,FALSE,82,3.23
bcbf77f9-ca30-49a8-ace8-674f2b78213d,688881,COMPUTER_ROOM-2,07/24/2023 19:13,70.16,70.2° F,100,21.2,16,965435,FALSE,87,3.23
aeb14532-4cd5-43da-b05d-f32ce55d5ff5,688881,COMPUTER_ROOM-2,07/24/2023 18:53,70.7,70.7° F,100,21.5,16,965435,FALSE,90,3.23
2ab50420-fc9f-4657-8db9-425965022a54,688881,COMPUTER_ROOM-2,07/24/2023 18:33,70.7,70.7° F,100,21.5,16,965435,FALSE,92,3.23
5a494bb0-d354-4b8c-8ee4-dbf7ec8ea9d1,688881,COMPUTER_ROOM-2,07/24/2023 18:13,70.52,70.5° F,100,21.4,16,965435,FALSE,77,3.23
78d69e0a-9bd8-43bb-bc75-25b3a9545b64,688881,COMPUTER_ROOM-2,07/24/2023 17:53,70.16,70.2° F,100,21.2,16,965435,FALSE,91,3.23
3f0aa3b1-3cca-448c-b032-336626399b8d,688881,COMPUTER_ROOM-2,07/24/2023 17:33,70.7,70.7° F,100,21.5,16,965435,FALSE,91,3.23
e7cabb53-b2d4-4881-9459-0dc70247536d,688881,COMPUTER_ROOM-2,07/24/2023 17:13,70.52,70.5° F,100,21.4,16,965435,FALSE,90,3.24
7f744202-5348-44ad-bb8b-802ab87a698b,688881,COMPUTER_ROOM-2,07/24/2023 16:53,70.34,70.3° F,100,21.3,16,965435,FALSE,93,3.23
47c4ae46-9274-4a35-ba7a-af5d28e28be6,688881,COMPUTER_ROOM-2,07/24/2023 16:33,70.16,70.2° F,100,21.2,16,965435,FALSE,91,3.23
b0dba972-3d36-4317-bdc1-22112bc294a6,688881,COMPUTER_ROOM-2,07/24/2023 16:13,70.52,70.5° F,100,21.4,16,965435,FALSE,91,3.23
248e46d3-71b7-4b7b-addf-13b37a2e61d5,688881,COMPUTER_ROOM-2,07/24/2023 15:53,70.7,70.7° F,100,21.5,16,965435,FALSE,90,3.23
f320a80f-8425-4ccd-9e11-c7ca35f8e8e1,688881,COMPUTER_ROOM-2,07/24/2023 15:33,70.7,70.7° F,100,21.5,16,965435,FALSE,90,3.23
9788add6-2e94-4124-bbbb-81bf4b6d1a55,688881,COMPUTER_ROOM-2,07/24/2023 15:13,70.52,70.5° F,100,21.4,16,965435,FALSE,90,3.23
59c36647-f8d0-4a60-8cf2-7af05a55f839,688881,COMPUTER_ROOM-2,07/24/2023 14:53,70.16,70.2° F,100,21.2,16,965435,FALSE,91,3.23
2bf51e37-f114-45b0-a320-54b21c182d64,688881,COMPUTER_ROOM-2,07/24/2023 14:33,70.34,70.3° F,100,21.3,16,965435,FALSE,90,3.23
b95512e3-551f-4305-8fff-d05264a4b431,688881,COMPUTER_ROOM-2,07/24/2023 14:13,70.7,70.7° F,100,21.5,16,965435,FALSE,91,3.23
790b700c-6296-41b7-b2af-d0b1f230acb2,688881,COMPUTER_ROOM-2,07/24/2023 13:53,70.7,70.7° F,100,21.5,16,965435,FALSE,91,3.23
c72785c6-398d-4e6b-8d1f-c5506ea2190b,688881,COMPUTER_ROOM-2,07/24/2023 13:33,70.7,70.7° F,100,21.5,16,965435,FALSE,92,3.23
